Variable Name;Type;Description
nix_sale;Float;Net Profit Margin (nix_sale)
ocf_sale;Float;Operating Cash Flow Margin (ocf_sale)
fcf_sale;Float;Free Cash Flow Margin (fcf_sale)
ebitda_at;Float;Operating Profit before Depreciation scaled by Assets (ebitda_at)
ebit_at;Float;Operating Profit after Depreciation scaled by Assets (ebit_at)
fi_at;Float;Firm Income scaled by Assets (fi_at)
ni_at;Float;Net Income scaled by Assets (ni_at)
nix_be;Float;Net Income Including Extraordinary Items scaled by BE (nix_be)
ocf_be;Float;Operating Cash Flow scaled by BE (ocf_be)
fcf_be;Float;Free Cash Flow scaled by BE (fcf_be)
gp_bev;Float;Gross Profit scaled by BEV (gp_bev)
ebitda_bev;Float;Operating Profit before Depreciation scaled by BEV (ebitda_bev)
fi_bev;Float;Firm Income scaled by BEV (fi_bev)
cop_bev;Float;Cash Based Operating Profitability scaled by BEV (cop_bev)
gp_ppen;Float;Gross Profit scaled by PPEN (gp_ppen)
ebitda_ppen;Float;Operating Profit before Depreciation scaled by PPEN (ebitda_ppen)
fcf_ppen;Float;Free Cash Flow scaled by PPEN (fcf_ppen)
fincf_at;Float;Financial Cash Flow scaled by Assets (fincf_at)
eqis_at;Float;Equity Issuance scaled by Assets (eqis_at)
dltnetis_at;Float;Net Long-Term Debt Issuance scaled by Assets (dltnetis_at)
dstnetis_at;Float;Net Short-Term Debt Issuance scaled by Assets (dstnetis_at)
eqnpo_at;Float;Equity Net Payout scaled by Assets (eqnpo_at)
eqbb_at;Float;Net Equity Payout scaled by Assets (eqbb_at)
div_at;Float;Total Dividends scaled by Assets (div_at)
be_bev;Float;Common Equity scaled by BEV (be_bev)
debt_bev;Float;Total Debt scaled by BEV (debt_bev)
cash_bev;Float;Cash and Short-Term Investments scaled by BEV (cash_bev)
pstk_bev;Float;Preferred Stock scaled by BEV (pstk_bev)
debtlt_bev;Float;Long-Term Debt scaled by BEV (debtlt_bev)
debtst_bev;Float;Short-Term Debt scaled by BEV (debtst_bev)
int_debt;Float;Interest scaled by Total Debt (int_debt)
int_debtlt;Float;Interest scaled by Long-Term Debt (int_debtlt)
ebitda_debt;Float;Operating Profit before Depreciation scaled by Total Debt (ebitda_debt)
profit_cl;Float;Profit before D&A scaled by Current Liabilities (profit_cl)
ocf_cl;Float;Operating Cash Flow scaled by Current Liabilities (ocf_cl)
ocf_debt;Float;Operating Cash Flow scaled by Total Debt (ocf_debt)
cash_lt;Float;Cash Balance scaled by Total Liabilities (cash_lt)
inv_act;Float;Inventory scaled by Current Assets (inv_act)
rec_act;Float;Receivables scaled by Current Assets (rec_act)
debtst_debt;Float;Short-Term Debt scaled by Total Debt (debtst_debt)
cl_lt;Float;Current Liabilities scaled by Total Liabilities (cl_lt)
debtlt_debt;Float;Long-Term Debt scaled by Total Debt (debtlt_debt)
lt_ppen;Float;Total Liabilities scaled by Total Tangible Assets (lt_ppen)
debtlt_be;Float;Long-Term Debt to Book Equity (debtlt_be)
nwc_at;Float;Working Capital scaled by Assets (nwc_at)
fcf_ocf;Float;Free Cash Flow scaled by Operating Cash Flow (fcf_ocf)
debt_at;Float;Debt-to-Assets (debt_at)
debt_be;Float;Debt to Shareholders Equity Ratio (debt_be)
ebit_int;Float;Interest Coverage Ratio (ebit_int)
inv_days;Float;Days Inventory Outstanding (inv_days)
rec_days;Float;Days Sales Outstanding (rec_days)
ap_days;Float;Days Accounts Payable Outstanding (ap_days)
cash_conversion;Float;Cash Conversion Cycle (cash_conversion)
cash_cl;Float;Cash Ratio (cash_cl)
caliq_cl;Float;Quick Ratio (caliq_cl)
ca_cl;Float;Current Ratio (ca_cl)
inv_turnover;Float;Inventory Turnover (inv_turnover)
rec_turnover;Float;Receivables Turnover (rec_turnover)
ap_turnover;Float;Account Payables Turnover (ap_turnover)
adv_sale;Float;Advertising scaled by Sales (adv_sale)
staff_sale;Float;Labor Expense scaled by Sales (staff_sale)
sale_be;Float;Sales scaled by Total Stockholders Equity (sale_be)
div_ni;Float;Dividend Payout Ratio (div_ni)
sale_nwc;Float;Sales scaled by Working Capital (sale_nwc)
tax_pi;Float;Effective Tax Rate (tax_pi)
ni_emp;Float;Net Income scaled by Employees (ni_emp)
sale_emp;Float;Sales scaled by Employees (sale_emp)
niq_saleq_std;Float;Net Income to Sales Quarterly Volatility (niq_saleq_std)
roeq_be_std;Float;Quarterly ROE Volatility (roeq_be_std)
roe_be_std;Float;ROE Volatility (roe_be_std)
intrinsic_value;Float;Intrinsic Value (intrinsic_value)
gpoa_ch5;Float;Gross Product to Assets 5 yr Change (gpoa_ch5)
roe_ch5;Float;ROE 5 yr Change (roe_ch5)
roa_ch5;Float;ROA 5 yr Change (roa_ch5)
cfoa_ch5;Float;Operating Cash Flow to Assets 5 yr Change (cfoa_ch5)
gmar_ch5;Float;Gross Product to Sales 5 yr Change (gmar_ch5)
cash_me;Float;Cash and Short-Term Investments scaled by Market Equity (cash_me)
gp_me;Float;Gross Profit scaled by ME (gp_me)
ebitda_me;Float;Operating Profit before Depreciation scaled by ME (ebitda_me)
ebit_me;Float;Operating Profit after Depreciation scaled by ME (ebit_me)
ope_me;Float;Operating Earnings to Equity scaled by ME (ope_me)
nix_me;Float;Net Income Including Extraordinary Items scaled by ME (nix_me)
cop_me;Float;Cash Based Operating Profitability scaled by ME (cop_me)
div_me;Float;Total Dividends scaled by ME (div_me)
eqbb_me;Float;Equity Buyback scaled by ME (eqbb_me)
eqis_me;Float;Equity Issuance scaled by ME (eqis_me)
eqnetis_me;Float;Equity Net Issuance scaled by ME (eqnetis_me)
at_mev;Float;Total Assets scaled by MEV (at_mev)
ppen_mev;Float;Property, Plans and Equipment Net scaled by MEV (ppen_mev)
be_mev;Float;Book Equity scaled by MEV (be_mev)
cash_mev;Float;Cash and Short-Term Investments scaled by MEV (cash_mev)
sale_mev;Float;Sales scaled by MEV (sale_mev)
gp_mev;Float;Gross Profit scaled by MEV (gp_mev)
